SampleID,Value
sample131,91576190.7
sample132,117028251.4
sample133,58427895.96
sample134,213182804.4
sample135,88444799.09
sample136,204805419.5
sample137,81642845.68
sample138,88419161.46
sample139,87147998.01
sample140,150784126
sample141,73320813.35
sample142,45621508.07
sample143,162543919.2
sample144,133767407.1
sample145,160616118.8
sample146,108452675.1
sample147,110419223.6
sample148,83662899.25
sample149,139533095.2
sample150,110121800.6
sample151,106923958.7
sample152,127109203.7
sample153,185973854.4
sample154,135380062
sample155,103132752.4
sample156,240787550.9
sample157,278901371.8
sample158,228419337.3
sample159,320663674.3
sample160,287943157
sample161,83184278.01
sample162,48163195.78
sample163,88162918.11
sample164,91799960.74
sample165,44062768.75
sample166,101993490.4
sample167,76908023.26
sample168,173576812.5
sample169,101533099.7
sample170,144859221.3
sample171,263048724.5
sample172,290437494.1
sample173,363874710
sample174,410078646
sample175,312249727.5
sample176,137507685.8
sample177,90433258.6
sample178,59920105.34
sample179,60485303.32
sample180,65391197.26
sample181,113995677.3
sample182,126368731.1
sample183,125856741.3
sample184,165437960.7
sample185,143978706.8
sample186,357226355.7
sample187,321082365.3
sample188,300237885.6
sample189,329833907.3
sample190,324178538.6
sample191,60683289.25
sample192,100343654.5
sample193,88153467.13
sample194,86614169.72
sample195,111327537.9
sample196,170597249.7
sample197,146266182.7
sample198,94979623.99
sample199,191609143
sample200,120632035.1
sample201,227184646.7
sample202,250956931.2
sample203,152491783.6
sample204,208788718.8
sample205,234815397.3
sample206,74159257.66
sample207,51892126.27
sample208,60318251.82
sample209,47483490.18
sample210,49504294.09
sample211,176818380.2
sample212,234085385.4
sample213,109549127.3
sample214,173571561.4
sample215,257146785.6
sample216,329271134.3
sample217,273019937.6
sample218,201792482.2
sample219,324423991
sample220,403401837.3
sample221,124353493.7
sample222,58046893.66
sample223,74649894.71
sample224,61324191.11
sample225,92656757.06
sample226,210724438.4
sample227,207840176.6
sample228,234996410.4
sample229,159366120.6
sample230,221127634.1
sample231,277462697
sample232,301154060.3
sample233,329404779.6
sample234,436502724.8
sample235,232242599.8
sample236,115740198.1
sample237,93946887.34
sample238,58996309.28
sample239,84680282.42
sample240,50843238.06
sample241,295055123.8
sample242,239591484.4
sample243,250843601.6
sample244,222655343.8
sample245,237016131.7
sample246,254490740.7
sample247,324809949.2
sample248,486464928.6
sample249,146912884.7
sample250,169227058.5
sample251,36860186.25
sample252,82081621.07
sample253,44116808.46
sample254,43776843.75
sample255,51659306.65
sample256,206784459.4
sample257,203862109.3
sample258,140095409.6
sample259,219781719.4
sample260,166177719
sample261,141563201.5
sample262,203308026.6
sample263,208902478.8
sample264,240311221.4
sample265,277685309.8
sample401,189351110.9
sample402,170805095.8
sample403,134914825.5
sample404,41012142.01
sample405,87009001.6
sample406,76046164.04
sample407,107465821.1
sample408,81897234.15
sample409,42446324.62
sample410,71198613.19
sample411,39128069.64
sample412,110674490
sample413,144437275.2
sample414,76741219.39
sample416,79426716.09
sample417,107265111.7
sample418,98708330.74
sample419,88230267.29
sample420,54261841.04
sample421,168360042.3
sample422,100490005.6
sample423,107349189
sample424,88622806.93
sample425,173517322.9
sample426,501332334.4
sample427,259332078.5
sample428,366680342.1
sample429,629590563.7
sample431,51126305.91
sample432,70746694.33
sample433,109819935.5
sample434,183680427.2
sample435,110750636.4
sample436,309493921.5
sample437,248138827.3
sample438,244812070.2
sample439,137565948.1
sample440,134190336.1
sample441,537348563.4
sample442,323010501.3
sample443,360239885.7
sample444,217893713.1
sample446,128907828.3
sample447,94288725.39
sample448,172194323.3
sample449,57390032.53
sample450,156271815.3
sample451,154519791.8
sample452,208251631.1
sample453,171680959.6
sample454,249157836
sample455,191436199.7
sample456,460152499.7
sample457,306903727.9
sample458,450604647.6
sample459,299281491
sample461,277551494.6
sample462,107301891.9
sample463,146776575.5
sample464,83925936.01
sample465,114705711.7
sample466,146292850.4
sample467,129756978.7
sample468,103147664.4
sample469,147436731.8
sample470,144708156.2
sample471,529532199.4
sample472,323125120.9
sample473,507231280
sample474,192807413.6
sample476,177282780.6
sample477,129677097.9
sample478,88753914.11
sample479,44060243.07
sample480,173464069.6
sample481,174719783
sample482,168915719.5
sample483,186673004.4
sample484,163719093.9
sample485,194306716.4
sample486,376217470.1
sample487,305416742.9
sample488,268221612.2
sample489,297912459.6
sample491,85422638.01
sample492,205491109.1
sample493,156938529.6
sample494,276220983.7
sample495,193805594.2
sample496,154506332.1
sample497,241203228.5
sample498,196040154.1
sample499,217438330.5
sample500,301691505.2
sample501,385052592.2
sample502,398398350.6
sample503,491020186.1
sample504,429998059.7
sample506,145113486.6
sample507,153008102.8
sample508,286487714
sample509,176706054.9
sample510,152606318.4
sample511,235404250.6
sample512,260221114.7
sample513,286944186.1
sample514,181257972.8
sample515,207577563.6
sample516,466339035
sample517,391184622.3
sample518,451219985.8
sample519,260591246.8
sample521,159414094.8
sample522,279138678.4
sample523,197134028.9
sample524,244650791.2
sample525,151672424.2
sample526,271075492.9
sample527,239052209.5
sample528,286398149.9
sample529,294367735.7
sample530,241110235.8
sample531,526490079.2
sample532,453051293.5
sample533,435271256.4
sample534,130254625.9
sample266,73837601.76
sample267,134974579.7
sample268,152744017.1
sample269,149730175.6
sample270,179230791
sample271,82163849.12
sample272,55343333.37
sample273,76785975.92
sample274,124524787.8
sample275,189785877.4
sample276,119639802.2
sample277,155126338.8
sample279,115466299.1
sample280,83711557.52
sample281,68683756.21
sample282,43463769.25
sample283,70560145.14
sample284,60197986.81
sample285,97176914.4
sample286,142360828.2
sample287,97876994.46
sample288,173730315.4
sample289,136497323.3
sample290,233630867.5
sample291,590300961.7
sample292,484212923.7
sample294,551561163.6
sample295,399306874.6
sample296,148882236.2
sample297,195523992
sample298,120291365.1
sample299,130931791.9
sample300,126638088.4
sample301,137854316.7
sample302,244226672.3
sample303,436406206
sample304,321996769.4
sample305,158078946.4
sample306,449115439.5
sample307,436221409.9
sample309,247874473.4
sample310,395912875.1
sample311,182021908.8
sample312,79267108.31
sample313,66738298.58
sample314,97058934.42
sample315,91946977.41
sample316,131854987.1
sample317,202464611
sample318,234313786.4
sample319,172725293.9
sample320,148596255.1
sample321,356692265.2
sample322,372477885.7
sample324,406387955.3
sample325,451130442.6
sample326,111613854.7
sample327,113233549.5
sample328,67664819.19
sample329,109106536.4
sample330,139941774.1
sample331,228210139.2
sample332,291596964.1
sample333,235303622.5
sample334,214643204.2
sample335,270042598.6
sample336,413006827.2
sample337,432623436.6
sample339,573371847.7
sample340,632786908.3
sample341,57361091.92
sample342,103963515.1
sample343,59181743.11
sample344,97437211.66
sample345,43442614.65
sample346,213378274.2
sample347,166160297.6
sample348,299438036.3
sample349,220385176.9
sample350,142893000.8
sample351,403065958.8
sample352,801773492.1
sample354,692990515.4
sample355,836054387.3
sample356,136587320.1
sample357,174190296
sample358,141572751.9
sample359,144087839.1
sample360,222133688.1
sample361,134581825.6
sample362,148524717.2
sample363,231907271.3
sample364,228854691.9
sample365,164365595.7
sample366,704096526.1
sample367,243746928.2
sample369,258035459.7
sample370,269919986.8
sample371,44537392.67
sample372,64922906.22
sample373,90444320.31
sample374,87879518.45
sample375,59720394.64
sample376,117246598.6
sample377,233459698.7
sample378,198979807
sample379,168387847.3
sample380,300277968.9
sample381,239470780.8
sample382,282712981.1
sample384,184591441.3
sample385,172080995.2
sample386,80489878.38
sample387,62992941.77
sample388,75260446.08
sample389,80711770.81
sample390,164733955.7
sample391,187815329.8
sample392,123342252.7
sample393,200092501.9
sample394,183116141.4
sample395,124370299.6
sample396,241797354.2
sample397,200127410.6
sample399,507845533.9
sample400,260511570.8
sample1,62827903.9
sample2,87832072.48
sample3,75602987.57
sample4,181784883.9
sample5,138514560.5
sample6,67663731.05
sample7,124796341.5
sample8,60508755.44
sample9,97753011.24
sample10,109138115.9
sample11,61213519.34
sample12,60196576.71
sample13,55915807.45
sample14,83471632.27
sample15,54218633.13
sample16,72011157.37
sample17,123807614.3
sample18,107841609.1
sample19,106348391.8
sample20,48193727.33
sample21,100173473.1
sample22,105662529.4
sample23,140416446.4
sample24,122233482.3
sample25,62279666.38
sample26,90908585.28
sample27,127372760.3
sample28,123571950.9
sample29,174632371
sample30,151559835.9
sample31,77867846.76
sample32,148748.3172
sample33,33579741.23
sample34,203372185.1
sample35,72075543.62
sample36,38700429.93
sample37,75691641.63
sample38,29850573.2
sample39,29994591.27
sample40,31731287.42
sample41,38752051.11
sample42,61037995.69
sample43,60997835.4
sample44,50687468
sample45,50712453.11
sample46,156562660.2
sample47,60183525.34
sample48,133997039
sample49,69637055.11
sample50,54851902.31
sample51,13845376.51
sample52,82899248.39
sample53,101999766.5
sample54,59430303.48
sample55,39821814.47
sample56,57153024.14
sample57,68618757.23
sample58,30402475
sample59,84846464.83
sample60,44303284.18
sample61,86699392.94
sample62,99335896.85
sample63,113213697.3
sample64,76006093.25
sample65,78173605.83
sample66,38842645.26
sample67,40837953.15
sample68,64172997.42
sample69,32220226.64
sample70,50304419.65
sample71,74872094.98
sample72,85375843.03
sample73,59050419.13
sample74,26482951.34
sample75,43685112.16
sample76,102245911.2
sample77,72505096.08
sample78,111019895.3
sample79,80555524.58
sample80,112476334.8
sample81,94764507.97
sample82,105080680.7
sample83,135093326.5
sample84,106771654.6
sample85,118020562.5
sample86,33699984.53
sample87,61948627.65
sample88,58652261.88
sample89,44645394.67
sample90,48015758.24
sample91,56305993.67
sample92,69588057.31
sample93,83248951.77
sample94,153509170
sample95,117798995.4
sample96,379489046.5
sample97,221841550.1
sample98,324290996.4
sample99,307516338.1
sample100,155282544.9
sample101,39957949.04
sample102,34821114.03
sample103,42029604.88
sample104,73732935.59
sample105,78673932.7
sample106,101499981
sample107,104610458.4
sample108,100625783.9
sample109,136450442.8
sample110,132244203.8
sample111,219735502.1
sample112,282440889.7
sample113,163028063.9
sample114,288010673.2
sample115,150771437.8
sample116,52087226.4
sample117,22233023.67
sample118,42105809.37
sample119,73752583.86
sample120,25363015.04
sample121,61152951.75
sample122,59642634.42
sample123,104250590.9
sample124,134661870.5
sample125,62963226.87
sample126,91434127.55
sample127,162178062.7
sample128,144088563.7
sample129,134451869.3
sample130,81150645.35